,BasePath,FileName
0,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00001.png
1,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00002.png
2,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00003.png
3,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00004.png
4,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00005.png
5,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00006.png
6,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00007.png
7,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00008.png
8,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00009.png
9,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00010.png
10,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00011.png
11,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00012.png
12,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00013.png
13,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00014.png
14,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00015.png
15,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00016.png
16,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00017.png
17,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00018.png
18,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00019.png
19,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00020.png
20,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00021.png
21,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00022.png
22,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00023.png
23,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00024.png
24,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00025.png
25,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00026.png
26,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00027.png
27,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00028.png
28,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00029.png
29,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00030.png
30,021121_EE12P1RN_control_Rig2_fm1_WORLD,frame_00031.png
